,user_id,first_order_dt,last_order_dt,first_device,first_region,first_partner,first_genre,total_orders,avg_revenue_rub,avg_tickets,avg_days_between,is_two,is_five
21328,f8ca658303dace0,2024-10-17,2024-10-17,mobile,Каменевский регион,Билеты без проблем,театр,1,272.08,3.0,,0,0
21329,f8cdb377acae454,2024-06-16,2024-09-18,desktop,Серебринская область,Билеты в руки,другое,2,849.225,3.0,94.0,1,0
21330,f8d46be6a76786b,2024-10-01,2024-10-02,mobile,Каменевский регион,Мой билет,театр,2,373.485,2.0,1.0,1,0
21331,f8d6660efc1e213,2024-08-15,2024-08-15,mobile,Озернинский край,Билеты без проблем,стендап,5,1483.1,3.2,0.0,1,1
21332,f8d9d71e038c850,2024-06-12,2024-10-16,mobile,Миропольская область,Лучшие билеты,другое,38,673.8194736842105,2.9210526315789473,3.4054054054054053,1,1
21333,f8dff27e8275033,2024-08-20,2024-08-20,mobile,Каменевский регион,Край билетов,театр,1,1580.25,3.0,,0,0
21334,f8e357f32f0b230,2024-09-24,2024-10-12,mobile,Лесополянская область,Лови билет!,театр,3,64.44666666666666,2.3333333333333335,9.0,1,0
21335,f8e846d9e32a13b,2024-10-04,2024-10-04,desktop,Каменевский регион,Лови билет!,спорт,1,289.05,3.0,,0,0
21336,f8ebb8294b08332,2024-09-18,2024-09-18,mobile,Широковская область,Мой билет,театр,1,35.03,1.0,,0,0
21337,f8ec33ba8577a68,2024-09-01,2024-09-01,mobile,Каменевский регион,Билеты в руки,стендап,1,215.14,2.0,,0,0
21338,f8f0ed256378f8f,2024-09-21,2024-09-21,desktop,Каменевский регион,Мой билет,другое,1,106.19,2.0,,0,0
21339,f8fb17236c4815b,2024-06-05,2024-10-08,desktop,Серебринская область,Билеты без проблем,другое,5,311.15,2.4,31.25,1,1
21340,f8fdc47125a06f4,2024-06-16,2024-07-07,mobile,Каменноярский край,Билеты в руки,концерты,2,205.95,2.5,21.0,1,0
21341,f8ff866812334d0,2024-09-10,2024-09-10,desktop,Каменевский регион,Билеты без проблем,другое,1,359.98,2.0,,0,0
21342,f900423add5c3c9,2024-06-27,2024-10-31,mobile,Североярская область,Облачко,концерты,17,316.61941176470594,2.6470588235294117,7.875,1,1
21343,f906e3c21b48301,2024-06-15,2024-09-22,mobile,Каменевский регион,Облачко,концерты,2,343.495,1.5,99.0,1,0
21344,f90792bacb08747,2024-06-18,2024-10-04,mobile,Каменевский регион,Билеты без проблем,концерты,2,1010.6199999999999,3.5,108.0,1,0
21345,f908c9097010b74,2024-07-01,2024-09-16,mobile,Североярская область,Билеты без проблем,другое,8,716.8512499999999,3.0,11.0,1,1
21346,f909668af96ccf8,2024-07-13,2024-07-13,mobile,Речиновская область,Лови билет!,другое,7,21.674285714285713,2.142857142857143,0.0,1,1
21347,f9173013292cc87,2024-10-21,2024-10-21,mobile,Каменевский регион,Мой билет,концерты,2,305.155,5.5,0.0,1,0
21348,f9176303f7deeb4,2024-10-18,2024-10-18,mobile,Каменевский регион,Край билетов,театр,2,2355.95,4.5,0.0,1,0
21349,f9181346d331074,2024-09-16,2024-10-29,mobile,Озернинский край,Весь в билетах,концерты,24,383.1283333333333,3.0416666666666665,1.8695652173913044,1,1
21350,f91aff1aec6a603,2024-08-07,2024-09-19,mobile,Речиновская область,Лови билет!,театр,21,637.5976190476191,2.0952380952380953,2.15,1,1
21351,f91ddda59428ee9,2024-10-23,2024-10-23,mobile,Травиницкий округ,Тебе билет!,концерты,1,859.29,3.0,,0,0
21352,f926b9046b83f68,2024-07-09,2024-07-09,mobile,Тепляковская область,Лови билет!,другое,1,548.61,5.0,,0,0
21353,f92e14ed875bca0,2024-09-25,2024-10-30,mobile,Каменевский регион,Мой билет,другое,3,54.403333333333336,1.3333333333333333,17.5,1,0
21354,f92f8fee47fec0f,2024-08-26,2024-08-26,desktop,Шанырский регион,Мой билет,другое,2,45.801483090000005,3.0,0.0,1,0
21355,f931db00422a79e,2024-09-12,2024-09-12,mobile,Ключеводский округ,Облачко,театр,1,499.73,2.0,,0,0
21356,f9364e1fdeb9493,2024-07-28,2024-10-27,mobile,Речиновская область,Билеты в руки,другое,2,106.13,3.5,91.0,1,0
21357,f939d01a0f37130,2024-07-25,2024-07-25,mobile,Яблоневская область,Лови билет!,концерты,1,508.98,2.0,,0,0
21358,f940f26aa38b221,2024-07-06,2024-10-10,mobile,Озернинский край,Весь в билетах,концерты,9,924.0988888888888,2.2222222222222223,12.0,1,1
21359,f942588f99b0a97,2024-09-30,2024-10-02,mobile,Каменевский регион,Мой билет,концерты,3,65.45333333333333,3.3333333333333335,1.0,1,0
21360,f94358d1ed08089,2024-09-28,2024-10-15,desktop,Речиновская область,Билеты в руки,театр,2,290.66999999999996,2.5,17.0,1,0
21361,f9491e239b88ffd,2024-09-30,2024-09-30,mobile,Сосновская область,Билеты в руки,театр,1,76.98,4.0,,0,0
21362,f94965e020b9f00,2024-08-27,2024-10-29,mobile,Солнечнореченская область,Весь в билетах,концерты,2,1161.615,3.0,63.0,1,0
21363,f95469e8b2a0240,2024-06-12,2024-10-12,mobile,Каменевский регион,Мой билет,другое,2,193.73,4.0,122.0,1,0
21364,f9575bc94e88caf,2024-08-16,2024-10-16,desktop,Шанырский регион,Мой билет,другое,8,455.14354738000003,1.75,8.714285714285714,1,1
21365,f95be931025deec,2024-10-03,2024-10-06,mobile,Североярская область,Билеты в руки,театр,2,738.39,2.5,3.0,1,0
21366,f95d9d8d3c7e1fe,2024-09-06,2024-09-06,mobile,Лугоградская область,Билеты без проблем,другое,1,98.59,3.0,,0,0
21367,f95e814ea74f916,2024-10-21,2024-10-21,mobile,Каменевский регион,Билеты без проблем,концерты,4,326.14750000000004,1.75,0.0,1,0
21368,f9617efe813cdc9,2024-10-13,2024-10-13,mobile,Широковская область,Мой билет,стендап,1,696.77,2.0,,0,0
21369,f962e269ccada2b,2024-10-25,2024-10-25,desktop,Широковская область,Облачко,концерты,2,621.71,2.5,0.0,1,0
21370,f963c523c833508,2024-09-05,2024-10-02,mobile,Дальнезорский край,Прачечная,театр,3,355.7966666666666,2.0,13.5,1,0
21371,f967469575af9fa,2024-06-10,2024-10-12,mobile,Солнечнореченская область,Билеты без проблем,театр,6,473.68333333333334,2.6666666666666665,24.8,1,1
21372,f96ae449653a015,2024-10-30,2024-10-30,mobile,Яблоневская область,Лучшие билеты,театр,1,454.96,6.0,,0,0
21373,f96b2f32b11dd2f,2024-08-08,2024-10-10,mobile,Шанырский регион,Мой билет,концерты,3,275.40283367333336,2.6666666666666665,31.5,1,0
21374,f96b4c7a92ed423,2024-07-16,2024-07-16,mobile,Каменевский регион,Билеты в руки,выставки,1,191.78,4.0,,0,0
21375,f96bbbddfc4db72,2024-08-29,2024-08-29,desktop,Поленовский край,Лови билет!,театр,1,362.19,1.0,,0,0
21376,f979b3e31d3b3cd,2024-06-04,2024-10-17,desktop,Каменевский регион,Билеты без проблем,концерты,5,318.21200000000005,2.8,33.75,1,1
21377,f979f932069fc3c,2024-06-30,2024-08-05,desktop,Каменевский регион,Край билетов,театр,5,716.912,3.2,9.0,1,1
21378,f97cdbd645490ca,2024-06-03,2024-06-03,mobile,Североярская область,Билеты в руки,выставки,1,69.98,2.0,,0,0
21379,f980de94dc94603,2024-07-12,2024-07-12,mobile,Каменевский регион,Облачко,концерты,1,814.92,3.0,,0,0
21380,f98494346dc3765,2024-06-25,2024-06-25,mobile,Травяная область,Билеты в руки,концерты,1,393.09,1.0,,0,0
21381,f9863bc64b08050,2024-06-29,2024-06-29,mobile,Каменевский регион,Мой билет,концерты,1,790.91,3.0,,0,0
21382,f988f24aa7885bd,2024-06-11,2024-10-27,mobile,Шанырский регион,Мой билет,концерты,13,1591.47482672,2.6923076923076925,11.5,1,1
21383,f98a542063923fb,2024-06-09,2024-10-17,mobile,Зоринский регион,Билеты в руки,другое,8,679.1225000000001,3.25,18.571428571428573,1,1
21384,f98a778c3832fe0,2024-06-10,2024-10-23,mobile,Солнечнореченская область,Лови билет!,спорт,38,654.5039473684211,2.4210526315789473,3.6486486486486487,1,1
21385,f98b688fa4fc986,2024-06-15,2024-10-19,mobile,Каменевский регион,Билеты в руки,выставки,3,206.39000000000001,1.6666666666666667,63.0,1,0
21386,f98dd6692a7dbe1,2024-09-13,2024-09-13,mobile,Каменевский регион,Билеты без проблем,другое,1,54.07,2.0,,0,0
21387,f98e8d80933cb59,2024-06-03,2024-06-03,mobile,Шанырский регион,Мой билет,концерты,1,1125.03326952,3.0,,0,0
21388,f99392263fcefb7,2024-07-03,2024-07-03,mobile,Каменевский регион,Облачко,концерты,1,705.3,3.0,,0,0
21389,f99c81f52bf6376,2024-06-15,2024-06-15,mobile,Каменевский регион,За билетом!,другое,2,1145.87,4.5,0.0,1,0
21390,f99e5fef3fa1fd0,2024-10-22,2024-10-22,mobile,Озернинский край,Билеты без проблем,концерты,3,2570.8,4.0,0.0,1,0
21391,f9a6ca41129314e,2024-10-05,2024-10-05,mobile,Каменевский регион,Лови билет!,концерты,2,338.88,3.0,0.0,1,0
21392,f9b30ae57e1ebd1,2024-06-27,2024-09-03,desktop,Каменевский регион,Облачко,концерты,2,583.11,2.5,68.0,1,0
21393,f9b3210db46640f,2024-07-22,2024-10-31,mobile,Каменевский регион,Дом культуры,концерты,7,884.4342857142857,3.2857142857142856,16.833333333333332,1,1
21394,f9b87a46d9c7c7f,2024-06-06,2024-06-06,mobile,Североярская область,Мой билет,другое,1,245.23,4.0,,0,0
21395,f9baa266be77cfb,2024-06-27,2024-10-26,mobile,Широковская область,Билеты в руки,концерты,13,436.9807692307692,2.769230769230769,10.083333333333334,1,1
21396,f9bd2299a90f624,2024-07-15,2024-10-30,mobile,Речиновская область,Облачко,стендап,18,3219.3811111111117,3.111111111111111,6.294117647058823,1,1
21397,f9bf42ee8045cce,2024-08-08,2024-08-08,mobile,Каменевский регион,Край билетов,театр,1,634.37,2.0,,0,0
21398,f9c166672db007d,2024-06-15,2024-10-25,mobile,Яблоневская область,Лови билет!,концерты,14,865.0028571428571,3.0,10.153846153846153,1,1
21399,f9c3b030386c71b,2024-06-12,2024-10-01,mobile,Шанырский регион,Мой билет,концерты,13,221.6724728692308,3.3846153846153846,9.25,1,1
21400,f9c40f3c6bc343f,2024-10-15,2024-10-15,desktop,Североярская область,Лучшие билеты,другое,1,301.1,5.0,,0,0
21401,f9c87b33fd0ca3c,2024-08-21,2024-08-21,mobile,Североярская область,Телебилет,концерты,4,324.06,2.5,0.0,1,0
21402,f9d5dd342dd0a88,2024-06-05,2024-07-09,mobile,Североключевской округ,Лови билет!,другое,5,95.018,2.4,8.5,1,1
21403,f9dd9675d1e71b3,2024-10-05,2024-10-05,mobile,Каменевский регион,Мой билет,концерты,1,733.88,2.0,,0,0
21404,f9de9b32f8b9b8d,2024-06-11,2024-08-09,mobile,Шанырский регион,Мой билет,концерты,4,997.0984883450001,2.25,19.666666666666668,1,0
21405,f9f2947ab506ab6,2024-09-27,2024-09-27,desktop,Озернинский край,Билеты без проблем,концерты,1,1921.68,4.0,,0,0
21406,f9f722007fb074d,2024-09-25,2024-09-25,mobile,Солнечнореченская область,Лучшие билеты,другое,1,7.63,1.0,,0,0
21407,f9fa6928c694ae4,2024-06-12,2024-10-30,mobile,Североярская область,Лови билет!,театр,12,412.1458333333334,2.8333333333333335,12.727272727272727,1,1
21408,f9ff67109a6dbaf,2024-06-15,2024-10-18,desktop,Широковская область,Облачко,концерты,4,490.005,2.0,41.666666666666664,1,0
21409,fa02d7df688d059,2024-06-07,2024-06-07,desktop,Каменевский регион,Быстрый кассир,концерты,2,1862.67,5.0,0.0,1,0
21410,fa07d72ad05223a,2024-06-27,2024-10-09,mobile,Каменевский регион,Билеты без проблем,театр,5,367.962,3.2,26.0,1,1
21411,fa09e45a39ac73a,2024-06-11,2024-10-13,desktop,Североярская область,Билеты без проблем,театр,5,333.41,4.2,31.0,1,1
21412,fa0c14a34e343f2,2024-06-02,2024-10-25,desktop,Каменевский регион,Край билетов,театр,10,869.016,2.6,16.11111111111111,1,1
21413,fa12a2ad16d99c8,2024-07-09,2024-09-03,mobile,Каменевский регион,Билеты в руки,другое,2,1093.595,3.5,56.0,1,0
21414,fa13b8a076c76d5,2024-06-26,2024-10-18,mobile,Солнечнореченская область,Лучшие билеты,другое,6,291.66833333333335,3.1666666666666665,22.8,1,1
21415,fa1473a7170b02d,2024-08-02,2024-10-04,mobile,Североярская область,Прачечная,концерты,16,1244.6093749999998,3.75,4.2,1,1
21416,fa1b9286e4c3267,2024-09-04,2024-09-10,mobile,Серебринская область,За билетом!,театр,3,564.4866666666667,2.0,3.0,1,0
21417,fa1f0aaabd3c59f,2024-10-12,2024-10-19,mobile,Светополянский округ,Лучшие билеты,другое,3,9.073333333333332,2.3333333333333335,3.5,1,0
21418,fa1f29dad54a3d6,2024-06-26,2024-06-30,mobile,Яблоневская область,Лови билет!,концерты,2,480.205,2.0,4.0,1,0
21419,fa1fd52a12e0e5f,2024-09-13,2024-10-30,mobile,Глиногорская область,Лучшие билеты,другое,12,176.2158333333333,2.4166666666666665,4.2727272727272725,1,1
21420,fa2024fe147ddf7,2024-09-07,2024-10-01,mobile,Каменевский регион,Лови билет!,театр,2,1678.49,3.5,24.0,1,0
21421,fa2126c98ef90dc,2024-07-18,2024-09-03,mobile,Шанырский регион,Мой билет,концерты,6,205.35808252,2.5,9.4,1,1
21422,fa26115fd0f2a35,2024-06-22,2024-06-22,mobile,Каменевский регион,Билеты без проблем,концерты,1,2106.55,4.0,,0,0
21423,fa274c6a2539293,2024-10-17,2024-10-17,mobile,Каменевский регион,Весь в билетах,стендап,1,735.22,2.0,,0,0
21424,fa29aaa3c1d5c0c,2024-08-23,2024-10-25,mobile,Каменевский регион,Облачко,концерты,5,429.4339999999999,2.6,15.75,1,1
21425,fa2a6111a94deb7,2024-10-05,2024-10-31,mobile,Серебринская область,Билеты в руки,стендап,5,818.9859999999999,3.4,6.5,1,1
21426,fa2dba2868693c6,2024-08-18,2024-08-18,mobile,Североярская область,Прачечная,концерты,1,452.15,4.0,,0,0
21427,fa2dbe07a6f3854,2024-06-01,2024-10-28,mobile,Североярская область,Билеты в руки,другое,83,175.89216867469884,2.891566265060241,1.8170731707317074,1,1
21428,fa2f9a910a9d2c5,2024-08-17,2024-10-31,mobile,Североярская область,Билеты в руки,другое,9,145.1311111111111,2.2222222222222223,9.375,1,1
21429,fa30444978894f1,2024-06-01,2024-10-31,mobile,Каменевский регион,Прачечная,концерты,67,524.734335766567,2.671641791044776,2.303030303030303,1,1
21430,fa30abb90a0ae57,2024-08-29,2024-08-29,mobile,Каменевский регион,Мой билет,другое,1,44.16,3.0,,0,0
21431,fa356582a0bcf52,2024-06-18,2024-10-31,desktop,Каменевский регион,Край билетов,театр,13,540.5253846153846,2.6153846153846154,11.25,1,1
21432,fa383294d84c739,2024-09-13,2024-10-17,mobile,Каменевский регион,Облачко,концерты,6,267.46666666666664,2.1666666666666665,6.8,1,1
21433,fa38ea696a393c3,2024-09-22,2024-09-22,mobile,Североярская область,Лови билет!,другое,1,62.28,4.0,,0,0
21434,fa3911b14fa83ff,2024-09-12,2024-09-12,mobile,Каменевский регион,За билетом!,театр,1,141.62,1.0,,0,0
21435,fa3dc58c56af6a2,2024-06-09,2024-10-08,mobile,Североярская область,Лови билет!,другое,3,582.7595269066666,3.0,60.5,1,0
21436,fa3e4d4780cd528,2024-08-22,2024-10-27,mobile,Солнечноземская область,Билеты без проблем,другое,16,110.664375,3.375,4.4,1,1
21437,fa4420ae6e1f689,2024-10-06,2024-10-06,mobile,Верхоречная область,Билеты без проблем,другое,1,107.55827400000001,4.0,,0,0
21438,fa45b54552917ce,2024-10-12,2024-10-12,mobile,Заречная область,Билеты без проблем,концерты,2,170.735,2.0,0.0,1,0
21439,fa48359308096b0,2024-06-25,2024-09-24,mobile,Речицкий регион,Билеты без проблем,другое,15,106.92999999999999,2.2,6.5,1,1
21440,fa4a81de182593a,2024-07-05,2024-07-05,mobile,Широковская область,Лимоны,другое,1,29.85,4.0,,0,0
21441,fa4af05cef1e1a9,2024-09-25,2024-09-25,mobile,Малиновоярский округ,Облачко,концерты,1,919.75,3.0,,0,0
21442,fa4d7f89e112965,2024-08-01,2024-08-01,mobile,Каменевский регион,Край билетов,театр,2,1380.5749999999998,3.5,0.0,1,0
21443,fa4e8d36926b2d3,2024-10-14,2024-10-14,mobile,Широковская область,Мой билет,концерты,2,364.07,2.5,0.0,1,0
21444,fa546e638825461,2024-07-22,2024-10-29,mobile,Чистогорская область,Билеты без проблем,спорт,17,254.61882352941169,2.2941176470588234,6.1875,1,1
21445,fa59da45bb7d075,2024-06-08,2024-08-19,mobile,Тепляковская область,Лови билет!,другое,5,432.892,2.6,18.0,1,1
21446,fa5b623ebf60f62,2024-09-16,2024-09-16,mobile,Каменевский регион,Билеты без проблем,концерты,1,1083.74,3.0,,0,0
21447,fa5f787112798fc,2024-07-29,2024-07-29,mobile,Солнечноземская область,Билеты без проблем,концерты,2,95.095,1.5,0.0,1,0
21448,fa6b85ca33d0a06,2024-09-18,2024-10-26,mobile,Лугоградская область,Облачко,концерты,6,600.8900000000001,2.6666666666666665,7.6,1,1
21449,fa6bb95c5aa4b3b,2024-10-13,2024-10-13,mobile,Широковская область,Show_ticket,концерты,1,1831.09,4.0,,0,0
21450,fa6cf787bf8f84e,2024-09-27,2024-09-27,mobile,Зеленоградский округ,Городской дом культуры,театр,1,354.61,2.0,,0,0
21451,fa6d665cc098b57,2024-10-28,2024-10-29,mobile,Широковская область,Лови билет!,концерты,2,518.11,3.0,1.0,1,0
21452,fa6fb626bc69117,2024-08-11,2024-08-11,mobile,Островная область,Билеты в руки,другое,1,1288.9,3.0,,0,0
21453,fa712b4ba2fc748,2024-06-21,2024-10-16,desktop,Североярская область,Лови билет!,концерты,5,1024.062,2.8,29.25,1,1
21454,fa73ace372bed0e,2024-08-23,2024-08-23,mobile,Североярская область,Билеты в руки,концерты,1,82.51,2.0,,0,0
21455,fa77cc074507393,2024-09-08,2024-09-08,mobile,Солнечнореченская область,Весь в билетах,концерты,1,2109.8,2.0,,0,0
21456,fa782f29115bf54,2024-06-11,2024-10-31,mobile,Речиновская область,Show_ticket,концерты,77,644.9406142431167,2.8051948051948052,1.868421052631579,1,1
21457,fa7b31bd8909371,2024-08-03,2024-08-03,mobile,Каменевский регион,Лови билет!,выставки,1,312.81,5.0,,0,0
21458,fa7d997d2f6996d,2024-10-19,2024-10-19,mobile,Малиновоярский округ,Мой билет,концерты,1,1203.38,3.0,,0,0
21459,fa855563e6939e7,2024-06-01,2024-10-31,desktop,Озернинский край,Билеты без проблем,концерты,159,444.7200000000001,2.7232704402515724,0.9620253164556962,1,1
21460,fa916e688691c4e,2024-06-15,2024-10-16,mobile,Североярская область,Мой билет,стендап,25,603.9988,2.8,5.125,1,1
21461,fa9bc506075c82f,2024-07-05,2024-10-20,mobile,Широковская область,Лови билет!,концерты,3,352.9433333333333,1.6666666666666667,53.5,1,0
21462,fa9d6eb78d6278e,2024-06-20,2024-08-29,mobile,Медовская область,Облачко,концерты,4,1404.9650000000001,3.5,23.333333333333332,1,0
21463,faa67e4fb3a5d88,2024-06-14,2024-07-27,mobile,Североярская область,Билеты в руки,другое,2,681.905,2.0,43.0,1,0
21464,faa6f6c2be4f1b5,2024-06-11,2024-09-27,desktop,Верхоречная область,Мой билет,концерты,7,2860.3761075657144,3.7142857142857144,18.0,1,1
21465,fab1f8400583aeb,2024-06-12,2024-10-27,mobile,Каменевский регион,Весь в билетах,другое,10,819.097,3.3,15.222222222222221,1,1
21466,fab2595cca9e088,2024-07-02,2024-07-02,mobile,Лесодальний край,Яблоко,концерты,1,769.1,2.0,,0,0
21467,fab6bfc2fe3b375,2024-07-16,2024-10-17,desktop,Каменевский регион,Весь в билетах,другое,3,530.5633333333334,2.3333333333333335,46.5,1,0
21468,fab7de9cb4cce95,2024-09-23,2024-09-23,mobile,Горностепной регион,Лови билет!,театр,1,1.61,3.0,,0,0
21469,faba339278b8f5f,2024-07-07,2024-07-07,desktop,Каменевский регион,Лучшие билеты,другое,2,35.364999999999995,2.5,0.0,1,0
21470,fabb0a3e6e1c0e9,2024-06-17,2024-10-17,mobile,Североярская область,Весь в билетах,концерты,8,427.97,2.0,17.428571428571427,1,1
21471,fabb2febf44db65,2024-06-01,2024-08-10,mobile,Каменевский регион,Билеты без проблем,другое,16,32.48625,2.8125,4.666666666666667,1,1
